archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\APVM2312.211,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,14.264,356.36,0.4948,0.5747,0.6929,0.6929,OK,
BJVM2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\BJVM2312.211,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,3.502,61.55,0.3081,0.2821,0.4581,0.4581,OK,
CMRM2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\CMRM2312.211,CMRM,ESCUELA PRIMARIA REPUBLICA DE MADAGASCAR,"CALLE LIC. IGNACIO L. VALLARTA, COL. JAC",19.347694,-99.05146,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,874,3,HNZ/HNN/HNE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,15.643,94.99,0.1531,0.0577,0.0766,0.1531,OK,
CMSG2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\CMSG2312.211,CMSG,SAN GREGORIO,TERRENO PARTICULAR EN SAN GREGORIO ATLAP,19.25526,-99.04821,2242.0,?,INSTITUTO DE INGENIERIA UNAM,BASALTO,633,3,HNZ/HNN/HNE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,19.733,126.15,0.1084,0.1443,0.16,0.16,OK,
CMTD2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\CMTD2312.211,CMTD,CIUDAD DE MEXICO TLAHUAC DEPORTIVO,DEPORTIVO ZAPOTITLAN CALLE EMILIO LAUREN,19.295261,-99.034431,2247.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1063,3,HNZ/HNN/HNE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,18.805,112.48,0.9766,0.535,0.8351,0.9766,OK,
CTCL2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\CTCL2312.211,CTCL,CATEDRAL CAMPO LIBRE,"CENTRO DE LA CIUDAD DE MEXICO, HACIA EL",19.434521,-99.133503,2240.0,Monumento,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103730,3,HNZ/HNN/HNE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,10.831,40.08,0.4612,0.1802,0.3846,0.4612,OK,
CTVM2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\CTVM2312.211,CTVM,CUAUHTEMOC,,19.44313,-99.1656,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,9.923,21.32,1.0125,1.0613,0.8206,1.0613,OK,
ICVM2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\ICVM2312.211,ICVM,IZTACALCO,,19.384483,-99.09895,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,10.944,75.58,0.2486,0.0922,0.1169,0.2486,OK,
MCVM2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\MCVM2312.211,MCVM,MAGDALENA CONTRERAS,,19.320633,-99.255317,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,7.27,232.98,0.0168,0.026,0.0358,0.0358,OK,
P001A2312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\P001A2312.211,P001A,ESCUELA NACIONAL PREPARATORIA PLANTEL 8,"AV. LOMAS DE PLATEROS SIN NUMERO, ESQUINA FRANCISCO",19.366895,-99.193642,,,INSTITUTO DE INGENIERIA UNAM,ALTUS-ETNA,917,3,N90E/VERT/N00E,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:13:52.000,[],[],[],Gal,,1.016,41.02,1.7415,1.6003,2.665,2.665,OK,
SCT22312.211,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_21_0014_49_M1.3_CDMX\ACEL\ASA\SCT22312.211,SCT2,SCT B-2,"ESTACIONAMIENTO EN EL EDIFICIO DE SCT, A",19.394694,-99.148678,2240.0,ARCILLA,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103461,3,HNZ/HNN/HNE,100.0,0.01,2023/12/21,00:14:49,/M=1.3,19.36,-99.2,1.3,,00:14:40.030,[],[],[],Gal,2023-12-21-0014-40S.NSN___111,6.623,54.37,0.8926,0.7951,0.8126,0.8926,OK,
