archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
AMVM2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\AMVM2408.051,AMVM,AMECAMECA,,19.13189,-98.7859,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,54.171,120.54,0.0811,0.0664,0.0942,0.0942,OK,
APVM2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\APVM2408.051,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,12.218,10.55,0.1075,0.0935,0.2142,0.2142,OK,
ATVM2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\ATVM2408.051,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,76.816,303.66,0.0069,0.0089,0.0089,0.0089,OK,
AZVM2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\AZVM2408.051,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,23.441,346.32,0.0148,0.0184,0.0215,0.0215,OK,
BJVM2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\BJVM2408.051,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,6.25,95.09,0.3385,0.5166,0.6083,0.6083,OK,
CCHA2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\CCHA2408.051,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,13.48,11.26,0.8315,1.2937,1.2668,1.2937,OK,
CCHN2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\CCHN2408.051,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,10.596,352.79,0.8489,1.2774,1.2875,1.2875,OK,
CCHS2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\CCHS2408.051,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,8.258,156.44,0.9012,1.2162,1.3206,1.3206,OK,
CCHV2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\CCHV2408.051,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,14.749,39.51,0.8583,1.2374,1.4187,1.4187,OK,
CJVM2408.051,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-08-05-1030_M2_4_cdmx\ACEL\ASA\CJVM2408.051,CJVM,CUAJIMALPA,,19.36165,-99.285133,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/08/05,10:30:48,/M=2.4,19.38,-99.23,1.0,,10:30:30.190,[],[],[],Gal,2024-08-05-1030-30S.CDMX__255,6.133,250.58,0.0395,0.0928,0.0889,0.0928,OK,
