archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\APVM2409.261,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,10.238,342.94,0.3022,0.6831,0.7789,0.7789,OK,
ATVM2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\ATVM2409.261,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,80.09,300.27,0.0346,0.0597,0.0781,0.0781,OK,
AZVM2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\AZVM2409.261,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,23.211,332.33,0.092,0.1728,0.1706,0.1728,OK,
BJVM2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\BJVM2409.261,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,2.948,160.57,35.0952,44.5524,43.1223,44.5524,OK,
CCHA2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CCHA2409.261,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,11.302,346.66,0.7441,1.2115,1.3256,1.3256,OK,
CCHN2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CCHN2409.261,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,10.579,321.59,0.8577,1.2239,1.3396,1.3396,OK,
CCHO2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CCHO2409.261,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,12.724,97.98,2.1762,1.6074,2.1029,2.1762,OK,
CCHS2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CCHS2409.261,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,9.985,191.24,1.7368,2.6212,1.8845,2.6212,OK,
CCHV2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CCHV2409.261,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,10.046,24.35,1.0287,1.5107,1.4577,1.5107,OK,
CENA2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CENA2409.261,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,9.499,177.08,0.4475,1.027,0.9444,1.027,OK,
CM552409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CM552409.261,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,12.28,97.78,0.1959,0.2276,0.3576,0.3576,OK,
CMAD2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CMAD2409.261,CMAD,Colegio Madrid A.C.,,19.288766,-99.133744,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,13.287,158.57,0.847,1.4264,1.5185,1.5185,OK,
CMBM2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CMBM2409.261,CMBM,BARTOLOME DE MEDINA,"ESCUELA PRIMARIA BARTOLOME DE MEDINA, SO",19.401245,-99.199547,2322.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101285,3,HNW/HNZ/HNN,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,2.055,273.87,12.1048,7.2979,14.2688,14.2688,OK,
CMCL2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CMCL2409.261,CMCL,HOSPITAL CLINICA LONDRES,"CALLE DURANGO, DENTRO DE LAS INSTALACION",19.421417,-99.156975,2245.0,ZONA DE LAGO,INSTITUTO DE INGENIERIA UNAM,ETNA 2,102505,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,3.392,45.39,3.2546,4.0785,3.6253,4.0785,OK,
CMCT2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CMCT2409.261,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,7.1,38.38,1.2817,1.7067,1.4806,1.7067,OK,
CMCU2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CMCU2409.261,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,7.753,180.79,0.9987,2.9658,1.3112,2.9658,OK,
CMEA2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CMEA2409.261,CMEA,ESCUELA SECUNDARIA ENRIQUE O ARAGON,"CERRADA COMONFORT S/N, COL. SAN LUCAS, A",19.359965,-99.09599,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,866,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,9.873,116.79,0.8848,1.4317,1.124,1.4317,OK,
CMEN2409.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-0639_M2_9_CDMX\ACEL\ASA\CMEN2409.261,CMEN,JARDIN DE NIÑOS CENTENARIO DE LA HEROICA ESC. NAVAL MILITAR,"COL. BALDIO CANAL NACIONAL, ALCALDIA TLA",19.295514,-99.102591,2235.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101616,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,06:39:05,/M=2.9,19.4,-99.18,1.0,,06:38:45.000,[],[],[],Gal,2024-09-26-0638-45S.cdmx2_261,14.175,145.03,0.4582,0.7368,0.6074,0.7368,OK,
