archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\APVM2409.268,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,10.593,337.51,1.2717,1.6249,2.3455,2.3455,OK,
ATVM2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\ATVM2409.268,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,80.997,299.9,0.2573,0.269,0.194,0.269,OK,
AZVM2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\AZVM2409.268,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,23.716,330.08,0.0357,0.0506,0.05,0.0506,OK,
BJVM2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\BJVM2409.268,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,2.781,181.41,0.4647,0.6825,1.0525,1.0525,OK,
CCHA2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\CCHA2409.268,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,11.589,341.61,1.1574,1.2719,1.2842,1.2842,OK,
CCHN2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\CCHN2409.268,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,11.261,317.41,0.9014,1.3441,1.3097,1.3441,OK,
CCHO2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\CCHO2409.268,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,11.686,98.69,1.7159,1.4627,1.666,1.7159,OK,
CCHS2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\CCHS2409.268,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,10.241,197.01,0.8373,1.3033,1.2509,1.3033,OK,
CCHV2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\CCHV2409.268,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,9.661,18.68,1.978,1.5997,4.3532,4.3532,OK,
CENA2409.268,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1737_M1.4_CDMX\ACEL\ASA\CENA2409.268,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:37:59,/M=1.4,19.4,-99.17,1.0,,17:37:30.000,[],[],[],Gal,2024-09-26-1737-30S.cdmx__267,9.504,183.41,0.875,1.3977,0.4429,1.3977,OK,
