archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
AMVM2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\AMVM2411.191,AMVM,AMECAMECA,,19.13189,-98.7859,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,53.027,121.56,0.069,0.1351,0.1022,0.1351,OK,
APVM2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\APVM2411.191,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,11.814,3.74,0.2885,0.404,0.5399,0.5399,OK,
ATVM2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\ATVM2411.191,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,77.922,302.93,0.2327,0.2798,0.1716,0.2798,OK,
AZVM2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\AZVM2411.191,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,23.619,342.74,0.0118,0.011,0.014,0.014,OK,
BJVM2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\BJVM2411.191,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,4.82,99.29,0.1662,0.1775,0.171,0.1775,OK,
CCHN2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\CCHN2411.191,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,10.664,344.79,1.0232,1.2396,1.3324,1.3324,OK,
CCHO2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\CCHO2411.191,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,16.379,89.16,1.2036,1.3782,1.4832,1.4832,OK,
CCHS2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\CCHS2411.191,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,8.004,166.77,0.8843,1.3053,1.4489,1.4489,OK,
CCHV2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\CCHV2411.191,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,13.679,35.36,0.8506,1.3238,1.2905,1.3238,OK,
CENA2411.191,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-11-19-1105-59_M1_4_CDMX\ACEL\ASA\CENA2411.191,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/11/19,11:05:59,/M=1.4,19.382,-99.216,1.0,,11:05:30.000,[],[],[],Gal,2024-11-19-1105-30S.cdmx__285,8.613,150.35,0.0291,0.0529,0.0329,0.0529,OK,
