archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
AMVM2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\AMVM2402.162,AMVM,AMECAMECA,,19.13189,-98.7859,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,51.799,120.67,0.2895,0.3597,0.2613,0.3597,OK,
APVM2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\APVM2402.162,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,13.124,0.62,0.6694,0.6276,0.901,0.901,OK,
ATVM2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\ATVM2402.162,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,79.179,303.49,0.1417,0.1438,0.1386,0.1438,OK,
AZVM2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\AZVM2402.162,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,25.081,342.27,0.1734,0.2281,0.1366,0.2281,OK,
BJVM2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\BJVM2402.162,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,4.165,82.32,1.1968,1.5159,1.7913,1.7913,OK,
CCHA2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\CCHA2402.162,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,14.343,2.15,0.8156,1.2206,1.2358,1.2358,OK,
CCHN2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\CCHN2402.162,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,12.119,343.57,0.8969,1.5154,1.264,1.5154,OK,
CCHO2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\CCHO2402.162,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,15.826,84.3,1.2258,1.5556,1.4767,1.5556,OK,
CCHS2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\CCHS2402.162,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,6.569,169.45,0.7727,1.2486,1.2432,1.2486,OK,
CCHV2402.162,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1535_23_M2_CDMX\ACEL\ASA\CCHV2402.162,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,15:35:23,/M=2.0,19.37,-99.21,1.0,,15:35:18.000,[],[],[],Gal,2024-02-16-1535-18S.MAN___240,14.46,30.26,1.2143,1.3027,2.5834,2.5834,OK,
