archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\APVM2312.031,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,13.177,5.18,0.5463,1.025,0.6321,1.025,OK,
BJVM2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\BJVM2312.031,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,5.207,83.86,0.7014,0.6347,0.9275,0.9275,OK,
CENA2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CENA2312.031,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLE/HLN/HLZ,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,7.729,142.72,0.1655,0.1779,0.0975,0.1779,OK,
CM552312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CM552312.031,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,16.448,84.15,0.1051,0.0605,0.0662,0.1051,OK,
CMCU2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMCU2312.031,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,6.019,137.2,0.317,0.3555,0.5461,0.5461,OK,
CMEA2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMEA2312.031,CMEA,ESCUELA SECUNDARIA ENRIQUE O ARAGON,"CERRADA COMONFORT S/N, COL. SAN LUCAS, A",19.359965,-99.09599,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,866,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,13.057,94.88,0.2914,0.2214,0.0976,0.2914,OK,
CMEN2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMEN2312.031,CMEN,JARDIN DE NIÑOS CENTENARIO DE LA HEROICA ESC. NAVAL MILITAR,"COL. BALDIO CANAL NACIONAL, ALCALDIA TLA",19.295514,-99.102591,2235.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101616,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,14.845,123.89,2.3825,1.0043,0.7524,2.3825,OK,
CMJC2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMJC2312.031,CMJC,ESCUELA PRIMARIA JOSE CLEMENTE OROZCO,"CALLE NORTE 94 NO. 4345, COL. LA MALINCH",19.452758,-99.10143,2232.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1073,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,15.47,53.48,0.2088,0.1282,0.1043,0.2088,OK,
CMJR2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMJR2312.031,CMJR,ESCUELA PRIMARIA JOSE ROMERO Y FUENTES,"AVENIDA 2 NO. 28, COL. LOMAS DE SAN LAZA",19.319067,-99.062632,2263.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,894,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,17.455,108.91,0.5443,0.261,0.2505,0.5443,OK,
CMMG2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMMG2312.031,CMMG,ESCUELA PRIMARIA GENERAL MARCIANO GONZALEZ,"CALLE CAHITAS, CULHUACAN CTM, COL. CULHU",19.332018,-99.115699,2254.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,867,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,11.729,111.09,0.1121,0.1308,0.0809,0.1308,OK,
CMP12312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMP12312.031,CMP1,ESCUELA NACIONAL PREPARATORIA PLANTEL 1,AV DE LA NORIA Y PROLONGACION IGNACIO AL,19.272467,-99.120834,2243.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1071,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,15.03,136.17,0.6126,0.7558,0.4967,0.7558,OK,
CMP32312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMP32312.031,CMP3,ESCUELA NACIONAL PREPARATORIA PLANTEL 3,AV EDUARDO MOLINA # 7342 CONSTITUCION DE,19.483149,-99.093941,2237.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1069,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,18.249,46.39,0.4117,0.5633,0.5608,0.5633,OK,
CMP52312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMP52312.031,CMP5,ESCUELA NACIONAL PREPARATORIA PLANTEL 5,CALZADA DEL HUESO # 729 NUEVA ORIENTAL C,19.307133,-99.134384,2241.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,865,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,11.382,127.88,0.1027,0.1016,0.1016,0.1027,OK,
CMP72312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMP72312.031,CMP7,ESCUELA NACIONAL PREPARATORIA PLANTEL 7,CALZADA DE LA VIGA 54 COL MERCED BALBUEN,19.419333,-99.125786,2240.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1070,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,11.302,60.95,0.3632,0.4976,0.3072,0.4976,OK,
CMPI2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMPI2312.031,CMPI,PUENTE IMPULSORA SITIO 2,"PUENTE UBICADO AL NORESTE DE LA CDMX, LI",19.48558,-99.048683,2180.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103729,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,22.089,54.39,1.0585,0.6324,1.011,1.0585,OK,
CMPR2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMPR2312.031,CMPR,ESCUELA PRIMARIA PEDRO ROMERO DE TERREROS,"CALLE 4 NO. 200, COL. AGRICOLA PANTITLAN",19.411101,-99.063118,2228.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,868,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,17.078,74.45,0.2059,0.1585,0.1781,0.2059,OK,
CMRA2312.031,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_03_0029_02_M2_CDMX\ACEL\ASA\CMRA2312.031,CMRA,ESCUELA SECUNDARIA REPUBLICA ARGENTINA,"AV. CANAL DE APATLACO NO. 700, COL. CAMP",19.382406,-99.119846,2241.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,887,3,HNZ/HNN/HNE,100.0,0.01,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,,00:28:55.200,[],[],[],Gal,2023-12-03-0028-55S.NSN___126,10.596,82.5,0.4934,0.8136,0.4745,0.8136,OK,
