carpeta_evento,fecha_sismo,hora_sismo,magnitud,epicentro_lat,epicentro_lon,profundidad_km,total_registros,registros_validos,registros_con_falla,pga_maximo_evento_gal,estacion_pga_maximo,distancia_epicentral_min_km,distancia_epicentral_max_km,modelos_sensores,tipos_suelo_presentes
2023_12_03_0029_02_M2_CDMX,2023/12/03,00:29:02,/M=2.0,19.37,-99.22,1.0,38,38,0,3.85957,CS78,0.814,26.706,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/RAD_IO14/130-SMA,"ARCILLAS/?/Arenoso, limoso, compacto/Monumento/ARCILLA/SUELO DURO"
2023_12_12_1706_27_M2.8_CDMX,2023/12/12,17:06:27,/M=2.8,19.38,-99.22,1.0,42,42,0,8.0017,BJVM,3.191,27.001,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/ALTUS-ETNA/130-SMA,ARCILLAS/?/ZONA DE LAGO/Monumento/ROCA BASALTICA/ARCILLA/SUELO DURO
2023_12_12_1707_52_M3_CDMX,12/DIC/23,17:07:52.0,/Mc=3,19.36,-99.2,1.0,125,125,0,44.5587,LOBE,1.942,26.526,RAD_IO14/Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/ALTUS-ETNA/130-SMA,"Terreno blando, material compresible/Transición/Arcilloso, zona lago/Arenoso, limoso, compacto/Alto riesgo sísmico/Terreno blando/ARCILLAS/?/Terreno estratificado/Monumento/ROCA BASALTICA/ARCILLA/SUELO DURO/Terreno firme, materiales compactos"
2023_12_12_1708_53_M2.4_CDMX,12/DIC/23,17:08:53.0,/Mc=2.4,19.36,-99.2,1.0,117,117,0,49.95577,CI02,1.942,267.868,RAD_IO14/Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/ALTUS-ETNA/130-SMA,"Arcilloso, zona lago/Terreno blando, material compresible/Transición/Arenoso, limoso, compacto/Alto riesgo sísmico/Terreno blando/ARCILLAS/?/Terreno estratificado/Monumento/ROCA BASALTICA/ARCILLA/SUELO DURO/Terreno firme, materiales compactos"
2023_12_12_1709_06_M1.6_CDMX,2023/12/12,17:09:06,/M=1.6,19.363,-99.2,1.0,35,35,0,4.5715,ROMA,3.356,24.483,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus,ARCILLAS/?/Monumento/ARCILLA
2023_12_12_1712_28_M1.1_CDMX,2023/12/12,17:12:28,/M=1.1,19.38,-99.22,1.0,36,36,0,1.9496,CM55,3.316,27.001,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/130-SMA,ARCILLAS/?/Monumento/ARCILLA/SUELO DURO
2023_12_12_1714_37_M1.8_CDMX,2023/12/12,17:14:37,/M=1.8,19.363,-99.2,1.0,35,35,0,1.4677,CM55,3.356,24.483,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus,ARCILLAS/?/Monumento/ARCILLA
2023_12_12_1717_44_M1.9_CDMX,2023/12/12,17:17:44,/M=1.9,19.363,-99.2,1.0,36,36,0,1.3928,CMPI,3.356,24.483,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/130-SMA,ARCILLAS/?/Monumento/ARCILLA/SUELO DURO
2023_12_12_1728_56_M1.9_CDMX,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,36,36,0,1.6121,CMRA,3.129,24.678,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/130-SMA,ARCILLAS/?/Monumento/ARCILLA/SUELO DURO
2023_12_12_2023_09_M2.1_CDMX,2023/12/12,20:23:09,/M=2.1,19.363,-99.2,1.0,37,37,0,1.8492,CM55,3.356,24.483,Episensor/ETNA 2/OBSIDIAN/BASALTO/Fortimus/130-SMA,ARCILLAS/?/Monumento/ARCILLA/SUELO DURO
